id,required,track,phase,area,scenario,expected,evidence
AC-V4-GAP-007,yes,V0_4,C04,GapCurrentness,product ambiguity,Real WSGS evidence maps to exact SACS explanation semantics,REAL_WSGS/RUNNING_GOWM/REAL_GDPS
AC-V4-GAP-008,yes,V0_4,C04,GapCurrentness,truncated,Real WSGS evidence maps to exact SACS explanation semantics,REAL_WSGS/RUNNING_GOWM/REAL_GDPS
AC-V4-GAP-009,yes,V0_4,C04,GapCurrentness,source changed during query,Real WSGS evidence maps to exact SACS explanation semantics,REAL_WSGS/RUNNING_GOWM/REAL_GDPS
AC-V4-GAP-010,yes,V0_4,C04,GapCurrentness,currentness CURRENT,Real WSGS evidence maps to exact SACS explanation semantics,REAL_WSGS/RUNNING_GOWM/REAL_GDPS
AC-V4-GAP-011,yes,V0_4,C04,GapCurrentness,currentness CHANGED,Real WSGS evidence maps to exact SACS explanation semantics,REAL_WSGS/RUNNING_GOWM/REAL_GDPS
AC-V4-GAP-012,yes,V0_4,C04,GapCurrentness,currentness NOT_AVAILABLE,Real WSGS evidence maps to exact SACS explanation semantics,REAL_WSGS/RUNNING_GOWM/REAL_GDPS
AC-V4-E2E-001,yes,V0_4,C05,RealE2E,2号车当前位置的坡度是多少？,Real SACS→WSGS→GOWM→GDPS path with PostgreSQL and protocol parity,OPENAI/AGUI/REAL_WSGS/RUNNING_GOWM/REAL_GDPS/REAL_POSTGRES
AC-V4-E2E-002,yes,V0_4,C05,RealE2E,A区内坡度15到30度的区域有哪些？,Real SACS→WSGS→GOWM→GDPS path with PostgreSQL and protocol parity,OPENAI/AGUI/REAL_WSGS/RUNNING_GOWM/REAL_GDPS/REAL_POSTGRES
AC-V4-E2E-003,yes,V0_4,C05,RealE2E,A区内有哪些洪水高风险区域？,Real SACS→WSGS→GOWM→GDPS path with PostgreSQL and protocol parity,OPENAI/AGUI/REAL_WSGS/RUNNING_GOWM/REAL_GDPS/REAL_POSTGRES
AC-V4-E2E-004,yes,V0_4,C05,RealE2E,2号车附近500米有哪些排水沟？,Real SACS→WSGS→GOWM→GDPS path with PostgreSQL and protocol parity,OPENAI/AGUI/REAL_WSGS/RUNNING_GOWM/REAL_GDPS/REAL_POSTGRES
AC-V4-E2E-005,yes,V0_4,C05,RealE2E,A区内有哪些高地？,Real SACS→WSGS→GOWM→GDPS path with PostgreSQL and protocol parity,OPENAI/AGUI/REAL_WSGS/RUNNING_GOWM/REAL_GDPS/REAL_POSTGRES
AC-V4-E2E-006,yes,V0_4,C05,RealE2E,A区内有哪些湿地？,Real SACS→WSGS→GOWM→GDPS path with PostgreSQL and protocol parity,OPENAI/AGUI/REAL_WSGS/RUNNING_GOWM/REAL_GDPS/REAL_POSTGRES
AC-V4-E2E-007,yes,V0_4,C05,RealE2E,2号车当前位置是什么地表覆盖？,Real SACS→WSGS→GOWM→GDPS path with PostgreSQL and protocol parity,OPENAI/AGUI/REAL_WSGS/RUNNING_GOWM/REAL_GDPS/REAL_POSTGRES
AC-V4-E2E-008,yes,V0_4,C05,RealE2E,2号车当前位置为什么属于该通行性等级？,Real SACS→WSGS→GOWM→GDPS path with PostgreSQL and protocol parity,OPENAI/AGUI/REAL_WSGS/RUNNING_GOWM/REAL_GDPS/REAL_POSTGRES
AC-V4-E2E-009,yes,V0_4,C05,RealE2E,明确指定数据产品查询,Real SACS→WSGS→GOWM→GDPS path with PostgreSQL and protocol parity,OPENAI/AGUI/REAL_WSGS/RUNNING_GOWM/REAL_GDPS/REAL_POSTGRES
AC-V4-E2E-010,yes,V0_4,C05,RealE2E,地图选择稳定引用后续,Real SACS→WSGS→GOWM→GDPS path with PostgreSQL and protocol parity,OPENAI/AGUI/REAL_WSGS/RUNNING_GOWM/REAL_GDPS/REAL_POSTGRES
AC-V4-E2E-011,yes,V0_4,C05,RealE2E,Descriptor/Data gap,Real SACS→WSGS→GOWM→GDPS path with PostgreSQL and protocol parity,OPENAI/AGUI/REAL_WSGS/RUNNING_GOWM/REAL_GDPS/REAL_POSTGRES
AC-V4-E2E-012,yes,V0_4,C05,RealE2E,Coverage gap,Real SACS→WSGS→GOWM→GDPS path with PostgreSQL and protocol parity,OPENAI/AGUI/REAL_WSGS/RUNNING_GOWM/REAL_GDPS/REAL_POSTGRES
AC-V4-E2E-013,yes,V0_4,C05,RealE2E,Reference ambiguity,Real SACS→WSGS→GOWM→GDPS path with PostgreSQL and protocol parity,OPENAI/AGUI/REAL_WSGS/RUNNING_GOWM/REAL_GDPS/REAL_POSTGRES
AC-V4-E2E-014,yes,V0_4,C05,RealE2E,Truncated result,Real SACS→WSGS→GOWM→GDPS path with PostgreSQL and protocol parity,OPENAI/AGUI/REAL_WSGS/RUNNING_GOWM/REAL_GDPS/REAL_POSTGRES
AC-V4-E2E-015,yes,V0_4,C05,RealE2E,Unknown finding schema,Real SACS→WSGS→GOWM→GDPS path with PostgreSQL and protocol parity,OPENAI/AGUI/REAL_WSGS/RUNNING_GOWM/REAL_GDPS/REAL_POSTGRES
AC-V4-E2E-016,yes,V0_4,C05,RealE2E,Source changed,Real SACS→WSGS→GOWM→GDPS path with PostgreSQL and protocol parity,OPENAI/AGUI/REAL_WSGS/RUNNING_GOWM/REAL_GDPS/REAL_POSTGRES
AC-V4-E2E-017,yes,V0_4,C05,RealE2E,Foreign scope,Real SACS→WSGS→GOWM→GDPS path with PostgreSQL and protocol parity,OPENAI/AGUI/REAL_WSGS/RUNNING_GOWM/REAL_GDPS/REAL_POSTGRES
AC-V4-E2E-018,yes,V0_4,C05,RealE2E,Hybrid Task/world/fusion,Real SACS→WSGS→GOWM→GDPS path with PostgreSQL and protocol parity,OPENAI/AGUI/REAL_WSGS/RUNNING_GOWM/REAL_GDPS/REAL_POSTGRES
AC-V4-FINAL-001,yes,V0_4,C06,Final,SACS restart,Exact explanation replay,CI/GIT/REPORT
AC-V4-FINAL-002,yes,V0_4,C06,Final,WSGS outage,Safe failure and recovery,CI/GIT/REPORT
AC-V4-FINAL-003,yes,V0_4,C06,Final,OpenAI/AGUI parity,Same explanation hash,CI/GIT/REPORT
AC-V4-FINAL-004,yes,V0_4,C06,Final,Required ledger,Zero fail/not-run/blocked,CI/GIT/REPORT
AC-V4-FINAL-005,yes,V0_4,C06,Final,Exact head CI,Pass,CI/GIT/REPORT
AC-V4-FINAL-006,yes,V0_4,C06,Final,PR Ready,Open and non-Draft when gates pass,CI/GIT/REPORT
AC-V4-FINAL-007,yes,V0_4,C06,Final,Final report,Truthful,CI/GIT/REPORT
AC-V4-FINAL-008,yes,V0_4,C06,Final,Decision,MERGE_READY only if all pass,CI/GIT/REPORT
AC-V5-BASE-001,yes,V0_5,C07,Baseline,No remote v0.5 assumption,Search repeated,SOURCE/GIT
AC-V5-BASE-002,yes,V0_5,C07,Baseline,Exact v0.4 parent,Ancestry locked,SOURCE/GIT
AC-V5-BASE-003,yes,V0_5,C07,Baseline,Dedicated v0.5 branch,Created,SOURCE/GIT
AC-V5-BASE-004,yes,V0_5,C07,Baseline,Stacked PR base,Correct,SOURCE/GIT
AC-V5-BASE-005,yes,V0_5,C07,Baseline,AG-UI package versions,Actual versions locked,SOURCE/GIT
AC-V5-BASE-006,yes,V0_5,C07,Baseline,WSGS analysis handoff search,Actual availability recorded,SOURCE/GIT
AC-V5-BASE-007,yes,V0_5,C07,Baseline,No duplicate explanation contracts,v0.4 reused,SOURCE/GIT
AC-V5-BASE-008,yes,V0_5,C07,Baseline,No upstream repository mutation,Protected,SOURCE/GIT
AC-V5-AGUI-001,yes,V0_5,C08,AGUI,v0.2 official client regression,Actual installed AG-UI contract validated,CONTRACT/AGUI_OFFICIAL_CLIENT
AC-V5-AGUI-002,yes,V0_5,C08,AGUI,v0.3 profile negotiation,Actual installed AG-UI contract validated,CONTRACT/AGUI_OFFICIAL_CLIENT
AC-V5-AGUI-003,yes,V0_5,C08,AGUI,STEP_STARTED/FINISHED parse,Actual installed AG-UI contract validated,CONTRACT/AGUI_OFFICIAL_CLIENT
AC-V5-AGUI-004,yes,V0_5,C08,AGUI,TOOL_CALL lifecycle parse,Actual installed AG-UI contract validated,CONTRACT/AGUI_OFFICIAL_CLIENT
AC-V5-AGUI-005,yes,V0_5,C08,AGUI,STATE snapshot/delta parse,Actual installed AG-UI contract validated,CONTRACT/AGUI_OFFICIAL_CLIENT
AC-V5-AGUI-006,yes,V0_5,C08,AGUI,ACTIVITY snapshot/delta parse,Actual installed AG-UI contract validated,CONTRACT/AGUI_OFFICIAL_CLIENT
AC-V5-AGUI-007,yes,V0_5,C08,AGUI,Interrupt parse,Actual installed AG-UI contract validated,CONTRACT/AGUI_OFFICIAL_CLIENT
AC-V5-AGUI-008,yes,V0_5,C08,AGUI,Resume parse,Actual installed AG-UI contract validated,CONTRACT/AGUI_OFFICIAL_CLIENT
AC-V5-AGUI-009,yes,V0_5,C08,AGUI,approve-with-edits parse,Actual installed AG-UI contract validated,CONTRACT/AGUI_OFFICIAL_CLIENT
AC-V5-AGUI-010,yes,V0_5,C08,AGUI,resumable remains false,Actual installed AG-UI contract validated,CONTRACT/AGUI_OFFICIAL_CLIENT
AC-V5-HANDOFF-001,yes,V0_5,C08,WSGSAnalysisHandoff,analysis consumer lock,Authoritative WSGS-owned contract passes,UPSTREAM_LOCK/CONTRACT
AC-V5-HANDOFF-002,yes,V0_5,C08,WSGSAnalysisHandoff,plan schema,Authoritative WSGS-owned contract passes,UPSTREAM_LOCK/CONTRACT
AC-V5-HANDOFF-003,yes,V0_5,C08,WSGSAnalysisHandoff,event schema,Authoritative WSGS-owned contract passes,UPSTREAM_LOCK/CONTRACT
AC-V5-HANDOFF-004,yes,V0_5,C08,WSGSAnalysisHandoff,tool interaction schema,Authoritative WSGS-owned contract passes,UPSTREAM_LOCK/CONTRACT
AC-V5-HANDOFF-005,yes,V0_5,C08,WSGSAnalysisHandoff,revision compile schema,Authoritative WSGS-owned contract passes,UPSTREAM_LOCK/CONTRACT
AC-V5-HANDOFF-006,yes,V0_5,C08,WSGSAnalysisHandoff,cancel schema,Authoritative WSGS-owned contract passes,UPSTREAM_LOCK/CONTRACT
AC-V5-HANDOFF-007,yes,V0_5,C08,WSGSAnalysisHandoff,intervention schema,Authoritative WSGS-owned contract passes,UPSTREAM_LOCK/CONTRACT
AC-V5-HANDOFF-008,yes,V0_5,C08,WSGSAnalysisHandoff,transport mode,Authoritative WSGS-owned contract passes,UPSTREAM_LOCK/CONTRACT
AC-V5-HANDOFF-009,yes,V0_5,C08,WSGSAnalysisHandoff,sequence semantics,Authoritative WSGS-owned contract passes,UPSTREAM_LOCK/CONTRACT
AC-V5-HANDOFF-010,yes,V0_5,C08,WSGSAnalysisHandoff,idempotency semantics,Authoritative WSGS-owned contract passes,UPSTREAM_LOCK/CONTRACT
AC-V5-HANDOFF-011,yes,V0_5,C08,WSGSAnalysisHandoff,recovery semantics,Authoritative WSGS-owned contract passes,UPSTREAM_LOCK/CONTRACT
AC-V5-HANDOFF-012,yes,V0_5,C08,WSGSAnalysisHandoff,endpoint/profile lock,Authoritative WSGS-owned contract passes,UPSTREAM_LOCK/CONTRACT
AC-V5-HANDOFF-013,yes,V0_5,C08,WSGSAnalysisHandoff,no inferred tool events,Authoritative WSGS-owned contract passes,UPSTREAM_LOCK/CONTRACT
AC-V5-LIFECYCLE-001,yes,V0_5,C09,Lifecycle,AnalysisSession,"Contract, runtime and real PostgreSQL evidence pass",SCHEMA/UNIT/REAL_POSTGRES
AC-V5-LIFECYCLE-002,yes,V0_5,C09,Lifecycle,AnalysisRevision,"Contract, runtime and real PostgreSQL evidence pass",SCHEMA/UNIT/REAL_POSTGRES
AC-V5-LIFECYCLE-003,yes,V0_5,C09,Lifecycle,AnalysisRun,"Contract, runtime and real PostgreSQL evidence pass",SCHEMA/UNIT/REAL_POSTGRES
AC-V5-LIFECYCLE-004,yes,V0_5,C09,Lifecycle,AnalysisNodeState axes,"Contract, runtime and real PostgreSQL evidence pass",SCHEMA/UNIT/REAL_POSTGRES
AC-V5-LIFECYCLE-005,yes,V0_5,C09,Lifecycle,AnalysisEvent,"Contract, runtime and real PostgreSQL evidence pass",SCHEMA/UNIT/REAL_POSTGRES
AC-V5-LIFECYCLE-006,yes,V0_5,C09,Lifecycle,AnalysisProjection,"Contract, runtime and real PostgreSQL evidence pass",SCHEMA/UNIT/REAL_POSTGRES
AC-V5-LIFECYCLE-007,yes,V0_5,C09,Lifecycle,append-only migrations,"Contract, runtime and real PostgreSQL evidence pass",SCHEMA/UNIT/REAL_POSTGRES
AC-V5-LIFECYCLE-008,yes,V0_5,C09,Lifecycle,event idempotency,"Contract, runtime and real PostgreSQL evidence pass",SCHEMA/UNIT/REAL_POSTGRES
AC-V5-LIFECYCLE-009,yes,V0_5,C09,Lifecycle,sequence conflict,"Contract, runtime and real PostgreSQL evidence pass",SCHEMA/UNIT/REAL_POSTGRES
AC-V5-LIFECYCLE-010,yes,V0_5,C09,Lifecycle,late old-plan event,"Contract, runtime and real PostgreSQL evidence pass",SCHEMA/UNIT/REAL_POSTGRES
AC-V5-LIFECYCLE-011,yes,V0_5,C09,Lifecycle,Persist Before Publish,"Contract, runtime and real PostgreSQL evidence pass",SCHEMA/UNIT/REAL_POSTGRES
AC-V5-LIFECYCLE-012,yes,V0_5,C09,Lifecycle,CAS active revision,"Contract, runtime and real PostgreSQL evidence pass",SCHEMA/UNIT/REAL_POSTGRES
AC-V5-LIFECYCLE-013,yes,V0_5,C09,Lifecycle,restart projection recovery,"Contract, runtime and real PostgreSQL evidence pass",SCHEMA/UNIT/REAL_POSTGRES
AC-V5-OBSERVER-001,yes,V0_5,C09,ObserverPolicy,read-only clear,AUTO_CONTINUE,UNIT/REAL_POSTGRES
AC-V5-OBSERVER-002,yes,V0_5,C09,ObserverPolicy,long read-only,NOTIFY_ONLY,UNIT/REAL_POSTGRES
AC-V5-OBSERVER-003,yes,V0_5,C09,ObserverPolicy,ordinary edit,QUEUE_REVISION,UNIT/REAL_POSTGRES
AC-V5-OBSERVER-004,yes,V0_5,C09,ObserverPolicy,reference ambiguity,INTERRUPT_REQUIRED,UNIT/REAL_POSTGRES
AC-V5-OBSERVER-005,yes,V0_5,C09,ObserverPolicy,product ambiguity,INTERRUPT_REQUIRED,UNIT/REAL_POSTGRES
AC-V5-OBSERVER-006,yes,V0_5,C09,ObserverPolicy,permission,INTERRUPT_REQUIRED,UNIT/REAL_POSTGRES
AC-V5-OBSERVER-007,yes,V0_5,C09,ObserverPolicy,budget,INTERRUPT_REQUIRED,UNIT/REAL_POSTGRES
AC-V5-OBSERVER-008,yes,V0_5,C09,ObserverPolicy,controlled/irreversible,INTERRUPT_REQUIRED,UNIT/REAL_POSTGRES
AC-V5-OBSERVER-009,yes,V0_5,C09,ObserverPolicy,data gap,AUTO_CONTINUE to explanation,UNIT/REAL_POSTGRES
AC-V5-OBSERVER-010,yes,V0_5,C09,ObserverPolicy,coverage gap,AUTO_CONTINUE to explanation,UNIT/REAL_POSTGRES
AC-V5-OBSERVER-011,yes,V0_5,C09,ObserverPolicy,capability gap,AUTO_CONTINUE to explanation,UNIT/REAL_POSTGRES
AC-V5-PROJECTION-001,yes,V0_5,C10,AGUIProjection,Run projection,Protocol contract and reference client pass,UNIT/AGUI_OFFICIAL_CLIENT/REFERENCE_CLIENT
AC-V5-PROJECTION-002,yes,V0_5,C10,AGUIProjection,Step projection,Protocol contract and reference client pass,UNIT/AGUI_OFFICIAL_CLIENT/REFERENCE_CLIENT
AC-V5-PROJECTION-003,yes,V0_5,C10,AGUIProjection,ToolCall projection,Protocol contract and reference client pass,UNIT/AGUI_OFFICIAL_CLIENT/REFERENCE_CLIENT
AC-V5-PROJECTION-004,yes,V0_5,C10,AGUIProjection,bounded ToolCallResult,Protocol contract and reference client pass,UNIT/AGUI_OFFICIAL_CLIENT/REFERENCE_CLIENT
