id,phase,track,required,conditional_on,severity,title,requirement,evidence_required,initial_status
V06-S01-007,S01,DEVELOPMENT,true,,CRITICAL,LEGACY_PLAN write prohibition,All new revision create/write APIs reject LEGACY_PLAN.,contract-test|postgres-test,NOT_RUN
V06-S01-008,S01,DEVELOPMENT,true,,CRITICAL,Contiguous additive migration,The next discovered migration number is appended contiguously and does not rewrite existing migration files.,migration-check|git-diff,NOT_RUN
V06-S01-009,S01,DEVELOPMENT,true,,CRITICAL,v0.5 upgrade safety,"A real PostgreSQL schema upgraded from v0.5 retains existing sessions, revisions, events and projections.",postgres-upgrade-test,NOT_RUN
V06-S01-010,S01,DEVELOPMENT,true,,CRITICAL,Empty database safety,All migrations install successfully into an empty PostgreSQL database.,postgres-test,NOT_RUN
V06-S01-011,S01,DEVELOPMENT,true,,CRITICAL,Repository scope preserved,New source identity reads/writes require the existing principal/thread scoped repository path.,security-test|postgres-test,NOT_RUN
V06-S01-012,S01,DEVELOPMENT,true,,MAJOR,Canonical hash determinism,"Source identity and request hashes are canonical, deterministic and verified on parse/write.",unit-test|property-test,NOT_RUN
V06-S02-001,S02,DEVELOPMENT,true,,CRITICAL,Authoritative consumer lock,SACS contains a READY 1.1 consumer lock only when generated/verified from the exact locked WSGS source; provisional provenance cannot be READY.,lock-file|hash-verification,NOT_RUN
V06-S02-002,S02,DEVELOPMENT,true,,CRITICAL,Explicit 1.0 selection,The client preserves the frozen legacy 1.0 request/response path.,contract-test,NOT_RUN
V06-S02-003,S02,DEVELOPMENT,true,,CRITICAL,Exact 1.1 request headers,Every 1.1 request sends exactly one wsgs-contract-version and one wsgs-result-profile header with the locked values.,wire-test,NOT_RUN
V06-S02-004,S02,DEVELOPMENT,true,,CRITICAL,1.1 response header verification,"The client verifies WSGS response contract/profile headers and rejects mismatch, duplication or silent downgrade.",wire-test|negative-test,NOT_RUN
V06-S02-005,S02,DEVELOPMENT,true,,CRITICAL,Caller authorization failure,An unauthorized 1.1 consumer fails closed with a stable SACS/WSGS contract error and does not retry as 1.0 when 1.1 is required.,integration-contract-test,NOT_RUN
V06-S02-006,S02,DEVELOPMENT,true,,MAJOR,Capability preflight,"Capabilities are fetched under the selected contract and parsed into required, optional-available and optional-unavailable states.",unit-test|contract-test,NOT_RUN
V06-S02-007,S02,DEVELOPMENT,true,,MAJOR,Grounding Job adapter reuse,GroundingJobAnalysisSourceAdapter uses the existing WsgsHttpClient rather than a second ad-hoc HTTP stack.,architecture-check|code-review,NOT_RUN
V06-S02-008,S02,DEVELOPMENT,true,,CRITICAL,Synchronous result support,HTTP 200 Grounding results become correct terminal source snapshots.,adapter-test,NOT_RUN
V06-S02-009,S02,DEVELOPMENT,true,,CRITICAL,Asynchronous job support,HTTP 202 jobs preserve groundingId/jobId and are observed through GET polling until terminal.,adapter-test,NOT_RUN
V06-S02-010,S02,DEVELOPMENT,true,,CRITICAL,All status normalization,"ACCEPTED, RUNNING, COMPLETED, PARTIAL, AMBIGUOUS, UNRESOLVED, FAILED and CANCELLED map deterministically.",table-test,NOT_RUN
V06-S02-011,S02,DEVELOPMENT,true,,CRITICAL,Bounded polling,"Poll interval, maximum duration, consecutive failures and response bytes are validated and bounded.",timeout-test|config-test,NOT_RUN
V06-S02-012,S02,DEVELOPMENT,true,,CRITICAL,Abort propagation,Caller AbortSignal stops local waiting without falsely marking the WSGS Grounding cancelled.,abort-test,NOT_RUN
V06-S02-013,S02,DEVELOPMENT,true,,CRITICAL,Stable idempotent start,Exact canonical request + idempotency key replay returns the same operation; same key with different request conflicts.,idempotency-test,NOT_RUN
V06-S02-014,S02,DEVELOPMENT,true,,CRITICAL,No guessed native routes,Grounding Job mode never calls guessed Plan/Event/Revision/Intervention endpoints.,network-boundary-test,NOT_RUN
V06-S03-001,S03,DEVELOPMENT,true,,CRITICAL,Begin API,beginWorldGrounding durably claims/replays the request and returns a truthful handle without requiring terminal completion.,unit-test|postgres-test,NOT_RUN
V06-S03-002,S03,DEVELOPMENT,true,,CRITICAL,Observe API,observeWorldGrounding emits truthful source transitions and supports bounded cancellation/reconnect behavior.,unit-test|stream-test,NOT_RUN
V06-S03-003,S03,DEVELOPMENT,true,,CRITICAL,Complete API,completeWorldGrounding returns or safely maps the terminal WSGS result.,unit-test,NOT_RUN
V06-S03-004,S03,DEVELOPMENT,true,,CRITICAL,answerWorld compatibility,Existing answerWorld behavior remains as a wrapper and ordinary OpenAI world answers regress successfully.,regression-test,NOT_RUN
V06-S03-005,S03,DEVELOPMENT,true,,CRITICAL,Analysis binding,Grounding source identity is durably bound to exactly one authorized analysis revision/run.,postgres-test,NOT_RUN
V06-S03-006,S03,DEVELOPMENT,true,,CRITICAL,Single active pump,Concurrent ensure calls result in at most one active poller per analysis revision/run.,concurrency-test,NOT_RUN
V06-S03-007,S03,DEVELOPMENT,true,,CRITICAL,Semantic event deduplication,Identical polls do not append duplicate business events or advance projections.,postgres-test|counter-test,NOT_RUN
V06-S03-008,S03,DEVELOPMENT,true,,CRITICAL,Restart recovery,STARTING/RUNNING/CANCEL_REQUESTED Grounding analyses resume after process restart from durable identity.,restart-test,NOT_RUN
V06-S03-009,S03,DEVELOPMENT,true,,CRITICAL,Stale-run isolation,Events/results for superseded revisions/runs cannot mutate the active projection.,concurrency-test|postgres-test,NOT_RUN
V06-S03-010,S03,DEVELOPMENT,true,,CRITICAL,Terminal monotonicity,Terminal source/run states cannot regress to nonterminal states.,state-machine-test,NOT_RUN
V06-S03-011,S03,DEVELOPMENT,true,,CRITICAL,Cancel uncertainty,Transport uncertainty leaves CANCEL_REQUESTED until WSGS proves terminality.,failure-injection-test,NOT_RUN
V06-S03-012,S03,DEVELOPMENT,true,,CRITICAL,Projection integrity,State/activity revisions and canonical hashes remain valid after Grounding Job transitions.,contract-test,NOT_RUN
V06-S03-013,S03,DEVELOPMENT,true,,CRITICAL,Scoped not-found,Cross-principal/thread analysis access is indistinguishable from unknown analysis access.,security-test,NOT_RUN
V06-S04-001,S04,DEVELOPMENT,true,,CRITICAL,URI+hash schema registry,Result parsing requires both authoritative schema URI and schema hash.,unit-test|registry-test,NOT_RUN
V06-S04-002,S04,DEVELOPMENT,true,,CRITICAL,1.1 findings parser,The locked WSGS geospatial findings profile parses all authoritative finding kinds.,contract-test|fixture-from-upstream,NOT_RUN
V06-S04-003,S04,DEVELOPMENT,true,,MAJOR,Source product preservation,"Source product IDs, authority, content/descriptor hashes, time and evidence links are retained.",normalizer-test,NOT_RUN
V06-S04-004,S04,DEVELOPMENT,true,,MAJOR,Typed gap preservation,"Typed gaps preserve kind, severity, message code, evidence links and safe detail.",normalizer-test,NOT_RUN
V06-S04-005,S04,DEVELOPMENT,true,,CRITICAL,Unknown schema safe path,Unknown URI produces UNSUPPORTED_FINDING_SCHEMA without inferred facts or geometry.,negative-test,NOT_RUN
V06-S04-006,S04,DEVELOPMENT,true,,CRITICAL,Hash drift safe path,Known URI with wrong hash is rejected/typed-gap and never parsed by shape alone.,negative-test,NOT_RUN
V06-S04-007,S04,DEVELOPMENT,true,,CRITICAL,Bounded payload,Oversized or deeply nested payloads fail safely before persistence/rendering.,security-test,NOT_RUN
V06-S04-008,S04,DEVELOPMENT,true,,CRITICAL,Unified view model,All normalized output enters one deterministic WorldAnalysisViewModel.,contract-test|architecture-check,NOT_RUN
V06-S04-009,S04,DEVELOPMENT,true,AUTHORITATIVE_WSGS_ROAD_ASSOCIATION_SCHEMA,MAJOR,Road association semantics,"Road visits, off-network, ambiguity, quality breaks and suffix completeness remain distinct.",normalizer-test,NOT_RUN
V06-S04-010,S04,DEVELOPMENT,true,AUTHORITATIVE_WSGS_TEMPORAL_EVENT_SCHEMA,MAJOR,Temporal event semantics,"Event type, instant/interval time, FIRST/LAST confirmation and blocking periods are retained.",normalizer-test,NOT_RUN
V06-S04-011,S04,DEVELOPMENT,true,AUTHORITATIVE_WSGS_METRIC_RANKING_SCHEMA,MAJOR,Metric ranking semantics,"Ranking retains metric concept, rank, actual representative visited position and unknown temporal completeness.",normalizer-test,NOT_RUN
V06-S04-012,S04,DEVELOPMENT,true,AUTHORITATIVE_WSGS_ACTION_TARGET_SCHEMA,CRITICAL,Action-target safety,Historical target candidates always require current validation and route planning and are not execution-authorized.,normalizer-test|negative-network-test,NOT_RUN
V06-S04-013,S04,DEVELOPMENT,true,,MAJOR,Deterministic ordering/hash,Equivalent verified source results produce the same normalized order and canonical hash.,determinism-test,NOT_RUN
V06-S04-014,S04,DEVELOPMENT,true,,CRITICAL,No provider package dependency,SACS production code has no direct dependency/import on T2/T3/T4 Provider implementation packages.,dependency-check|architecture-check,NOT_RUN
V06-S05-001,S05,DEVELOPMENT,true,,CRITICAL,Answer projection boundary,"Facts, qualifiers, choices and unavailable capabilities are built deterministically before optional language polishing.",unit-test|architecture-check,NOT_RUN
V06-S05-002,S05,DEVELOPMENT,true,,MAJOR,Partial answer qualification,PARTIAL results explicitly describe limited available data.,golden-test,NOT_RUN
V06-S05-003,S05,DEVELOPMENT,true,AUTHORITATIVE_WSGS_TEMPORAL_EVENT_SCHEMA,CRITICAL,Unconfirmed LAST qualification,"An unconfirmed LAST is rendered as last confirmed, not absolute last.",golden-test,NOT_RUN
V06-S05-004,S05,DEVELOPMENT,true,,CRITICAL,No-data semantics,NO_DATA is not rendered as zero or as proof of non-occurrence when coverage is incomplete.,golden-test,NOT_RUN
V06-S05-005,S05,DEVELOPMENT,true,AUTHORITATIVE_WSGS_ROAD_ASSOCIATION_SCHEMA,CRITICAL,Road geometry non-fabrication,Road IDs/names without published geometry are not turned into road lines.,map-test,NOT_RUN
V06-S05-006,S05,DEVELOPMENT,true,,CRITICAL,Trajectory preview non-fabrication,A bounded point preview is visibly labeled bounded and is not presented as a complete trajectory.,map-test,NOT_RUN
V06-S05-007,S05,DEVELOPMENT,true,AUTHORITATIVE_WSGS_ROAD_ASSOCIATION_SCHEMA,MAJOR,Off-network wording,"Off-network is presented as not associated with the current reference network, not as false trajectory.",golden-test|map-test,NOT_RUN
V06-S05-008,S05,DEVELOPMENT,true,AUTHORITATIVE_WSGS_TEMPORAL_EVENT_SCHEMA,MAJOR,Temporal event projection,Published event points/intervals map correctly to map and timeline items.,map-test|timeline-test,NOT_RUN
V06-S05-009,S05,DEVELOPMENT,true,AUTHORITATIVE_WSGS_METRIC_RANKING_SCHEMA,CRITICAL,Metric position authority,The map uses representative visited position; H3 center/boundary remains auxiliary.,map-test,NOT_RUN
V06-S05-010,S05,DEVELOPMENT,true,,MAJOR,Distinct timeline concepts,"Paused, data-gap, quality-break, off-network and ambiguity intervals remain distinct.",timeline-test,NOT_RUN
V06-S05-011,S05,DEVELOPMENT,true,,MAJOR,WSGS timeline source,Timeline can represent WSGS-organized derived findings without changing original evidence authority.,contract-test,NOT_RUN
V06-S05-012,S05,DEVELOPMENT,true,,CRITICAL,Truthful AG-UI step,Grounding Job emits only truthful coarse source/SACS stages and never fake Provider DAG/progress.,agui-contract-test,NOT_RUN
V06-S05-013,S05,DEVELOPMENT,true,,CRITICAL,Snapshot-before-interrupt,AG-UI interrupt completion is preceded by full State and Activity snapshots.,agui-contract-test,NOT_RUN
V06-S05-014,S05,DEVELOPMENT,true,,CRITICAL,Reconnect recovery,"Reconnect, revision gap or hash mismatch requests full State and Activity snapshots.",headless-client-test,NOT_RUN
V06-S05-015,S05,DEVELOPMENT,true,,CRITICAL,Legacy client regression,OpenAI-compatible and AG-UI v0.2 paths remain compatible.,regression-test,NOT_RUN
V06-S06-001,S06,DEVELOPMENT,true,,CRITICAL,Prior Grounding context,"Follow-up requests carry authorized prior groundingId, resultHash and selected product IDs.",unit-test|request-capture,NOT_RUN
V06-S06-002,S06,DEVELOPMENT,true,AUTHORITATIVE_WSGS_TEMPORAL_EVENT_SCHEMA,MAJOR,Trajectory-to-last-junction,A follow-up can request the last junction from a prior trajectory via WSGS rather than local Provider logic.,local-e2e,NOT_RUN
V06-S06-003,S06,DEVELOPMENT,true,,CRITICAL,List-to-LAST rule,Local selection is allowed only when the prior result is complete and deterministically contains LAST; otherwise a new Grounding is submitted.,unit-test|local-e2e,NOT_RUN
V06-S06-004,S06,DEVELOPMENT,true,AUTHORITATIVE_WSGS_METRIC_RANKING_SCHEMA,MAJOR,TopK-to-rankN rule,Rank N is reused only when present in a trusted prior result; otherwise a new Grounding requests sufficient K.,unit-test|local-e2e,NOT_RUN
V06-S06-005,S06,DEVELOPMENT,true,,CRITICAL,Ambiguity intervention,WSGS ambiguity creates a bounded Analysis Intervention/choice set.,local-e2e|contract-test,NOT_RUN
V06-S06-006,S06,DEVELOPMENT,true,,CRITICAL,Authorized choice only,Choice resolution rejects candidates not published for the current ambiguity and scope.,security-test,NOT_RUN
V06-S06-007,S06,DEVELOPMENT,true,,CRITICAL,Choice creates new revision,An accepted choice creates a new immutable revision/run/Grounding.,postgres-test|local-e2e,NOT_RUN
V06-S06-008,S06,DEVELOPMENT,true,,CRITICAL,Constraint change creates new revision,"Phase scope, threshold, time window and Top-K changes create new Groundings, not local result edits.",local-e2e|postgres-test,NOT_RUN
V06-S06-009,S06,DEVELOPMENT,true,,CRITICAL,No native compile in job mode,Grounding Job revision paths do not invoke Native compileRevision.,mock-boundary-test,NOT_RUN
V06-S06-010,S06,DEVELOPMENT,true,,CRITICAL,Cancel mapping,User cancellation calls WSGS cancel and maps confirmed terminal status without conflating disconnect.,local-e2e,NOT_RUN
V06-S06-011,S06,DEVELOPMENT,true,,CRITICAL,Mutation fencing,"Proposal/cancel/intervention commands are fenced by expected revision, idempotency and one active mutation claim.",concurrency-test,NOT_RUN
V06-S06-012,S06,DEVELOPMENT,true,AUTHORITATIVE_WSGS_ACTION_TARGET_SCHEMA,CRITICAL,Historical target remains non-executing,Follow-up 'go to candidate' creates only an action target candidate and causes no SDAR/route/device call.,network-boundary-test|local-e2e,NOT_RUN
V06-S06-013,S06,DEVELOPMENT,true,,CRITICAL,Currentness unavailable qualification,When WSGS currentness is unavailable the view remains UNKNOWN and current validation required.,capability-test|golden-test,NOT_RUN
V06-S06-014,S06,DEVELOPMENT,true,,CRITICAL,Multi-turn scope isolation,Prior grounding and choices cannot be referenced across unauthorized principal/thread scopes.,security-test,NOT_RUN
V06-S07-001,S07,DEVELOPMENT,true,,CRITICAL,Normal-server wiring,"The normal SACS server composes the contract-aware WSGS client, Grounding Job source, Analysis runtime, analysisControl and AG-UI v0.3 handler.",bootstrap-test|local-e2e,NOT_RUN
V06-S07-002,S07,DEVELOPMENT,true,,MAJOR,Persistence reuse,The analysis integration reuses the existing persistence runtime/pool rather than creating a separate hidden database stack.,architecture-check,NOT_RUN
V06-S07-003,S07,DEVELOPMENT,true,,MAJOR,Feature flags,Analysis enabled/transport/contract/profile/polling/limits are strictly parsed and documented.,config-test|env-example,NOT_RUN
V06-S07-004,S07,DEVELOPMENT,true,,CRITICAL,Grounding Job default,"When analysis is enabled and no explicit transport is given, production chooses GROUNDING_JOB.",bootstrap-test,NOT_RUN
V06-S07-005,S07,DEVELOPMENT,true,,CRITICAL,Fixture production rejection,Production startup cannot select or import the fixture adapter as a runtime path.,negative-bootstrap-test|dependency-check,NOT_RUN
V06-S07-006,S07,DEVELOPMENT,true,,CRITICAL,Native fail-closed,NATIVE mode without an authoritative eight-artifact handoff fails closed and does not guess routes.,negative-bootstrap-test,NOT_RUN
V06-S07-007,S07,DEVELOPMENT,true,,MAJOR,Dedicated analysis readiness,A bounded safe capability/readiness projection reports enabled transport and optional capability state.,api-contract-test,NOT_RUN
V06-S07-008,S07,DEVELOPMENT,true,,CRITICAL,Optional capability isolation,"Missing advanced history/selection/currentness does not make unrelated chat, task or legacy grounding unhealthy.",integration-test,NOT_RUN
V06-S07-009,S07,DEVELOPMENT,true,,MAJOR,Bounded telemetry,Telemetry records bounded aggregate analysis metrics with no high-cardinality IDs or payloads.,telemetry-test,NOT_RUN
V06-S07-010,S07,DEVELOPMENT,true,,CRITICAL,Secure logging,"Logs/public errors do not expose tokens, user text, geometry, safePayload, DB URLs or raw upstream bodies.",security-test,NOT_RUN
V06-S07-011,S07,DEVELOPMENT,true,,CRITICAL,Pump/rate limits,Authenticated rate limits and internal pump limits prevent unbounded analysis work.,rate-limit-test|concurrency-test,NOT_RUN
V06-S07-012,S07,DEVELOPMENT,true,,MINOR,Version/docs/changelog,"Package version, README, environment example and changelog accurately describe v0.6 and its deferred Native scope.",diff-review,NOT_RUN
V06-S07-013,S07,DEVELOPMENT,true,,CRITICAL,Development verification,All DEVELOPMENT required rows and required v0.6 commands pass with source-bound evidence.,verification-report|ledger,NOT_RUN
V06-S08-001,S08,REAL_WSGS_INTEGRATION,true,,CRITICAL,Real source lock refreshed,Integration evidence records exact final SACS and WSGS source SHAs and verified WSGS contract hashes.,integration-evidence|source-lock,NOT_RUN
V06-S08-002,S08,REAL_WSGS_INTEGRATION,true,,CRITICAL,Real services only,The tested chain uses a real source-built/approved WSGS API and worker plus real persistence; no fixture/mock/recorded response supplies the result.,process-evidence|network-evidence,NOT_RUN
V06-S08-003,S08,REAL_WSGS_INTEGRATION,true,,CRITICAL,Real 1.0 capabilities,SACS successfully calls real WSGS legacy capabilities under the 1.0 selection.,http-evidence,NOT_RUN
V06-S08-004,S08,REAL_WSGS_INTEGRATION,true,,CRITICAL,Real 1.1 capabilities,SACS successfully negotiates real WSGS 1.1 geospatial capabilities with exact headers and authorized principal.,http-evidence|header-evidence,NOT_RUN
V06-S08-005,S08,REAL_WSGS_INTEGRATION,true,,CRITICAL,Real Grounding submit,A real world request is accepted by WSGS and produces a durable Grounding ID.,http-evidence|database-safe-evidence,NOT_RUN
V06-S08-006,S08,REAL_WSGS_INTEGRATION,true,,CRITICAL,Real async observation,"At least one real nonterminal Grounding is observed through SACS polling before terminality, or authoritative WSGS evidence proves only synchronous execution is configured.",stream-evidence|integration-report,NOT_RUN
V06-S08-007,S08,REAL_WSGS_INTEGRATION,true,,CRITICAL,Real terminal projection,"The real WSGS terminal result updates SACS Analysis state, map/timeline/text as applicable, with matching result/projection hashes.",integration-evidence,NOT_RUN
V06-S08-008,S08,REAL_WSGS_INTEGRATION,true,,CRITICAL,Real cancellation,"A real in-flight Grounding is cancelled through the WSGS endpoint and SACS observes authoritative CANCELLED, or source evidence proves cancellation cannot be triggered in the isolated harness.",integration-evidence,NOT_RUN
V06-S08-009,S08,REAL_WSGS_INTEGRATION,true,,CRITICAL,Real ordinary grounding regression,Reference grounding/world answer remains functional through the real WSGS chain.,e2e-evidence,NOT_RUN
V06-S08-010,S08,REAL_WSGS_INTEGRATION,true,,CRITICAL,Real geospatial finding,At least one real WSGS 1.1 geospatial finding/result-extension is consumed and safely presented.,e2e-evidence,NOT_RUN
V06-S08-011,S08,REAL_WSGS_INTEGRATION,true,REAL_WSGS_AMBIGUITY_FIXTURE_AVAILABLE,MAJOR,Real ambiguity/unresolved behavior,A real AMBIGUOUS or UNRESOLVED case is exercised when the harness can deterministically produce one; otherwise the limitation is source-bound.,e2e-evidence,NOT_RUN
V06-S08-012,S08,REAL_WSGS_INTEGRATION,true,AUTHORITATIVE_WSGS_ROAD_ASSOCIATION_CAPABILITY,MAJOR,Real road association,A real WSGS-advertised road-association result is normalized and projected.,e2e-evidence,NOT_RUN
V06-S08-013,S08,REAL_WSGS_INTEGRATION,true,AUTHORITATIVE_WSGS_TEMPORAL_EVENT_CAPABILITY,MAJOR,Real temporal event,"A real WSGS-advertised temporal-event result, including LAST confirmation semantics, is normalized and projected.",e2e-evidence,NOT_RUN
V06-S08-014,S08,REAL_WSGS_INTEGRATION,true,AUTHORITATIVE_WSGS_METRIC_RANKING_CAPABILITY,MAJOR,Real metric ranking,A real WSGS-advertised metric-ranking result uses representative visited position and preserves completeness limits.,e2e-evidence,NOT_RUN
V06-S08-015,S08,REAL_WSGS_INTEGRATION,true,AUTHORITATIVE_WSGS_ADVANCED_MULTITURN_CAPABILITY,MAJOR,Real advanced multi-turn,A real prior-Grounding follow-up reuses authorized context for an advanced history request.,e2e-evidence,NOT_RUN
V06-S08-016,S08,REAL_WSGS_INTEGRATION,true,,CRITICAL,No illegal direct connection,"Network/process evidence confirms SACS contacted only WSGS/SDAR and its own PostgreSQL, not Provider/upstream databases.",network-boundary-evidence,NOT_RUN
V06-S08-017,S08,REAL_WSGS_INTEGRATION,true,,CRITICAL,Accurate conditional blockers,"Every unavailable conditional integration row is BLOCKED_EXTERNAL with capability/contract evidence, never silently omitted or marked PASS.",ledger|capability-evidence,NOT_RUN
V06-S08-018,S08,REAL_WSGS_INTEGRATION,true,,MAJOR,Isolated cleanup,"Temporary processes, containers, ports and databases created by the integration run are cleaned without touching shared services.",cleanup-evidence,NOT_RUN
V06-S09-001,S09,RELEASE,true,,CRITICAL,Final source-bound verification,Final reports identify the exact SACS source SHA and prove the worktree used for each verification command.,final-report|command-evidence,NOT_RUN
V06-S09-002,S09,RELEASE,true,,CRITICAL,Acceptance evidence completeness,"Every required DEVELOPMENT and INTEGRATION row has PASS, FAIL or valid BLOCKED_EXTERNAL with an evidence reference.",ledger-validation,NOT_RUN
V06-S09-003,S09,RELEASE,true,,MAJOR,No bulk promotion,Rows are not promoted to PASS merely because a broad command succeeded; evidence remains mapped per criterion.,ledger-audit,NOT_RUN
V06-S09-004,S09,RELEASE,true,,CRITICAL,Final in-scope regression,"All v0.6, affected v0.5/v0.4, API, persistence, migration, architecture and security regressions pass.",commands|exit-codes,NOT_RUN
V06-S09-005,S09,RELEASE,true,,CRITICAL,Production dependency audit,"Production build contains no fixture selection path, Provider implementation dependency or direct upstream database client.",dependency-audit|architecture-check,NOT_RUN
V06-S09-006,S09,RELEASE,true,,CRITICAL,Final secret scan,The exact final tree passes secret-pattern and sensitive-evidence checks.,secret-scan,NOT_RUN
V06-S09-007,S09,RELEASE,true,,CRITICAL,Final report truthfulness,"FINAL_REPORT distinguishes development, real integration, conditional blockers, release non-claims and Native Analysis deferral.",final-report-review,NOT_RUN
V06-S09-008,S09,RELEASE,true,,MAJOR,Draft PR evidence,"If GitHub credentials are available, a Draft PR is created/updated with source-bound summaries and no merge action.",pr-url|pr-state,NOT_RUN
V06-S09-009,S09,RELEASE,true,,CRITICAL,Release not automatically requested,Release remains NOT_REQUESTED unless the user explicitly starts it.,progressive-status,NOT_RUN
V06-S09-010,S09,RELEASE,true,,CRITICAL,No merge/tag/release/deploy,"The Goal performs no merge, tag, release or deployment.",git-remote-audit|report,NOT_RUN
V06-S09-011,S09,RELEASE,false,USER_EXPLICITLY_REQUESTED_RELEASE,MAJOR,Optional release container qualification,Container/SBOM/compose release qualification is run only after explicit release authorization.,release-evidence,NOT_REQUESTED
V06-S09-012,S09,RELEASE,true,,CRITICAL,Completion marker integrity,SACS_V06_GOAL_COMPLETE is emitted only when development and real-integration completion rules are satisfied; Native deferral remains stated.,final-report|ledger-validation,NOT_RUN
